procedure_name,code_type,code,modifier
Specialized Orthopedic Urine culture,CPTCode,87086,
Comprehensive Cardiac Blood culture,CPTCode,87040,
Screening Oncology Throat culture,CPTCode,87070,
Screening Cardiac Stool culture,CPTCode,87045,
Follow-up Orthopedic COVID-19 PCR test,CPTCode,87635,
Screening Neurological Influenza test,CPTCode,87804,
Routine Gastro Strep test rapid,CPTCode,87880,
Routine Neurological Mono test,CPTCode,86308,
Targeted Gastro HIV test,CPTCode,86703,
Specialized Dermatology Hepatitis B surface antigen,CPTCode,87340,
Emergency Oncology Hepatitis C antibody,CPTCode,86803,
Targeted Pulmonary RPR syphilis test,CPTCode,86592,
Advanced Pulmonary Chlamydia gonorrhea NAAT,CPTCode,87491,
Emergency Gastro Physical therapy evaluation,CPTCode,97161,
Advanced ENT Physical therapy treatment,CPTCode,97110,
Follow-up Gastro Occupational therapy evaluation,CPTCode,97165,
Comprehensive Oncology Speech therapy evaluation,CPTCode,92521,
Screening Oncology Psychiatric evaluation,CPTCode,90792,
Follow-up Oncology Psychotherapy 45 minutes,CPTCode,90834,
Emergency Dermatology Psychotherapy 60 minutes,CPTCode,90837,
Follow-up Pediatric Group therapy,CPTCode,90853,
Follow-up Oncology Medication management,CPTCode,90833,
Emergency Gastro Neuropsychological testing,CPTCode,96130,
Targeted Neurological Allergy skin testing,CPTCode,95004,
Follow-up Pulmonary Allergy immunotherapy,CPTCode,95115,
Emergency Oncology Immunoglobulin infusion,CPTCode,90281,
Therapeutic ENT Chemotherapy infusion,CPTCode,96413,
Screening Gastro Radiation therapy,CPTCode,77401,
Follow-up Dermatology IMRT planning,CPTCode,77301,
Follow-up Pulmonary Brachytherapy,CPTCode,77761,
Screening Orthopedic Dialysis hemodialysis,CPTCode,90935,
Advanced Neurological Peritoneal dialysis,CPTCode,90945,
Follow-up Pulmonary Plasmapheresis,CPTCode,36514,
Screening Oncology Infusion therapy,CPTCode,96360,
Diagnostic Pediatric IV antibiotics,CPTCode,96365,
Advanced Dermatology Total parenteral nutrition,CPTCode,99601,
Specialized Gastro Nasogastric tube placement,CPTCode,43752,
Screening Orthopedic Endotracheal intubation,CPTCode,31500,
Comprehensive Gastro Mechanical ventilation management,CPTCode,94002,
Targeted ENT Central line insertion,CPTCode,36556,
Follow-up Pediatric PICC line insertion,CPTCode,36569,
Diagnostic Dermatology Arterial line placement,CPTCode,36620,
Emergency Orthopedic Thoracentesis,CPTCode,32555,
Screening Neurological Paracentesis,CPTCode,49083,
Diagnostic Neurological Pericardiocentesis,CPTCode,33010,
Emergency ENT Cardioversion,CPTCode,92960,
Diagnostic Pediatric Defibrillation,CPTCode,92950,
Therapeutic Neurological CPR,CPTCode,92950,
Follow-up Dermatology Nebulizer treatment,CPTCode,94640,
Advanced Cardiac Oxygen therapy,CPTCode,94760,
Specialized Neurological CPAP,HCPCSCode,E0601,
Emergency Orthopedic BiPAP,HCPCSCode,E0470,
Follow-up ENT Hospital bed,HCPCSCode,E0250,
Screening Dermatology Walker,HCPCSCode,E0130,
Routine Gastro Cane,HCPCSCode,E0100,
Screening Dermatology Crutches,HCPCSCode,E0110,
Specialized Cardiac Commode,HCPCSCode,E0163,
Therapeutic Neurological Bath bench,HCPCSCode,E0245,
Emergency Dermatology Nebulizer machine,HCPCSCode,E0570,
Targeted Cardiac Insulin pump,HCPCSCode,E0784,
Therapeutic Gastro Blood glucose monitor,HCPCSCode,E2101,
Specialized Gastro Continuous glucose monitor,HCPCSCode,E2101,
Advanced ENT Compression stockings,HCPCSCode,A6531,
Specialized Gastro Wound dressing,HCPCSCode,A6216,
Specialized Orthopedic Ostomy supplies,HCPCSCode,A4361,
Emergency Dermatology Urological catheter,HCPCSCode,A4338,
Emergency Dermatology Breast pump,HCPCSCode,E0603,
Therapeutic Pediatric Hearing aid,HCPCSCode,V5244,
Advanced Pulmonary Orthotics ankle foot,HCPCSCode,L1960,
Follow-up Renal Prosthetic limb,HCPCSCode,L5100,
Follow-up Orthopedic Spinal orthosis,HCPCSCode,L0648,
Emergency Gastro Cervical collar,HCPCSCode,L0120,
Emergency ENT Knee brace,HCPCSCode,L1820,
Routine Neurological Shoulder sling,HCPCSCode,A4565,
Screening Orthopedic Wrist splint,HCPCSCode,L3900,
Therapeutic Pulmonary Ambulance transport,HCPCSCode,A0428,
Screening Gastro Non-emergency transport,HCPCSCode,A0100,
Targeted Pediatric Home health aide,HCPCSCode,G0156,
Therapeutic Pulmonary Skilled nursing visit,HCPCSCode,G0299,
Targeted Cardiac Physical therapy home,HCPCSCode,G0151,
Screening Dermatology Occupational therapy home,HCPCSCode,G0152,
Diagnostic Cardiac Flu vaccine,CPTCode,90686,
Emergency Orthopedic COVID-19 vaccine,CPTCode,91300,
Advanced Oncology Pneumococcal vaccine,CPTCode,90670,
Emergency Pediatric Shingles vaccine,CPTCode,90750,
Diagnostic Cardiac MMR vaccine,CPTCode,90707,
Comprehensive Dermatology HPV vaccine,CPTCode,90651,
Screening Orthopedic Hepatitis B vaccine,CPTCode,90739,
Advanced Renal Tetanus toxoid,CPTCode,90714,
Diagnostic Pulmonary Meningococcal vaccine,CPTCode,90734,
Targeted Pulmonary Varicella vaccine,CPTCode,90716,
Screening Oncology Chest X-Ray,CPTCode,71045,
Advanced Pulmonary MRI Brain,CPTCode,70551,26.0
Diagnostic Cardiac Blood Test,CPTCode,80050,
Specialized Gastro ECG,CPTCode,93000,
Therapeutic Renal CT Scan,CPTCode,74177,
Advanced Oncology Radiologic exam chest 2 views,CPTCode,71046,
Emergency Pulmonary Subsequent hospital care high complexity,CPTCode,99233,
Routine Pediatric Wheelchair,HCPCSCode,E1161,
Diagnostic Cardiac Office visit established patient low complexity,CPTCode,99213,
Emergency ENT Office visit established patient moderate complexity,CPTCode,99214,
Therapeutic Cardiac Office visit new patient moderate complexity,CPTCode,99203,
Comprehensive Renal Annual wellness visit,CPTCode,G0439,
Emergency Gastro Preventive visit adult,CPTCode,99396,
Follow-up Cardiac MRI Spine lumbar,CPTCode,72148,26.0
Routine Orthopedic MRI Knee,CPTCode,73721,26.0
Diagnostic Dermatology MRI Shoulder,CPTCode,73221,26.0
Comprehensive Dermatology CT Head,CPTCode,70450,
Screening Gastro CT Abdomen pelvis,CPTCode,74178,
Therapeutic Orthopedic CT Chest,CPTCode,71250,
Screening Orthopedic Ultrasound abdomen,CPTCode,76700,
Comprehensive Gastro Ultrasound pelvis,CPTCode,76856,
Routine Neurological Ultrasound thyroid,CPTCode,76536,
Advanced Pediatric Echocardiogram,CPTCode,93306,26.0
Comprehensive Orthopedic Stress test,CPTCode,93015,
Advanced Orthopedic Holter monitor,CPTCode,93224,
Emergency Oncology Pulmonary function test,CPTCode,94010,
Emergency ENT Spirometry,CPTCode,94060,
Routine Pulmonary Colonoscopy,CPTCode,45378,
Advanced Renal Upper endoscopy,CPTCode,43239,
Comprehensive Gastro Sigmoidoscopy,CPTCode,45331,
Follow-up Neurological Bronchoscopy,CPTCode,31622,
Comprehensive Cardiac Cystoscopy,CPTCode,52000,
Emergency Pediatric Arthroscopy knee,CPTCode,29881,
Routine Cardiac Arthroscopy shoulder,CPTCode,29826,
Therapeutic Cardiac Lumbar puncture,CPTCode,62270,
Diagnostic ENT Bone marrow biopsy,CPTCode,38221,
Comprehensive Gastro Liver biopsy,CPTCode,47000,
Targeted ENT Kidney biopsy,CPTCode,50200,
Therapeutic ENT Skin biopsy,CPTCode,11102,
Specialized Cardiac Fine needle aspiration,CPTCode,10021,
Targeted ENT Excision of lesion skin,CPTCode,11400,
Specialized Oncology Laceration repair simple,CPTCode,12001,
Screening Neurological Laceration repair complex,CPTCode,13100,
Follow-up Gastro Abscess incision drainage,CPTCode,10060,
Therapeutic Gastro Nail removal,CPTCode,11730,
Specialized Dermatology Cerumen removal,CPTCode,69210,
Routine Gastro Cataract surgery,CPTCode,66984,
Follow-up Pediatric Vitrectomy,CPTCode,67036,
Emergency Orthopedic LASIK,CPTCode,66999,
Specialized Cardiac Tonsillectomy,CPTCode,42825,
Comprehensive Orthopedic Adenoidectomy,CPTCode,42830,
Advanced Dermatology Septoplasty,CPTCode,30520,
Emergency Renal Rhinoplasty,CPTCode,30400,
Routine Pulmonary Sinus surgery,CPTCode,31256,
Screening Cardiac Thyroidectomy total,CPTCode,60240,
Comprehensive Renal Parathyroidectomy,CPTCode,60500,
Advanced Neurological Mastectomy simple,CPTCode,19301,
Targeted ENT Lumpectomy,CPTCode,19301,
Targeted Cardiac Sentinel node biopsy,CPTCode,38792,
Emergency Pediatric Hysterectomy total abdominal,CPTCode,58150,
Screening Neurological Hysterectomy laparoscopic,CPTCode,58570,
Screening Oncology Myomectomy abdominal,CPTCode,58140,
Advanced Cardiac Oophorectomy,CPTCode,58940,
Routine Gastro Tubal ligation,CPTCode,58600,
Advanced Gastro Cesarean section,CPTCode,59510,
Comprehensive Orthopedic Normal vaginal delivery,CPTCode,59400,
Emergency Pediatric Dilation and curettage,CPTCode,58120,
Targeted Gastro Colposcopy,CPTCode,57454,
Diagnostic Oncology LEEP procedure,CPTCode,57461,
Diagnostic ENT Prostatectomy radical,CPTCode,55810,
Diagnostic ENT Transurethral resection prostate,CPTCode,52601,
Comprehensive Oncology Vasectomy,CPTCode,55250,
Follow-up Neurological Orchiectomy,CPTCode,54520,
Screening Gastro Nephrectomy,CPTCode,50220,
Follow-up Neurological Cholecystectomy laparoscopic,CPTCode,47562,
Targeted Neurological Appendectomy,CPTCode,44950,
Advanced Cardiac Hernia repair inguinal,CPTCode,49505,
Screening Pediatric Hernia repair ventral,CPTCode,49560,
Follow-up Pulmonary Colectomy partial,CPTCode,44140,
Specialized Pulmonary Colostomy,CPTCode,44320,
Follow-up Neurological Hemorrhoidectomy,CPTCode,46250,
Routine Renal Fistulectomy,CPTCode,46270,
Specialized Neurological Splenectomy,CPTCode,38100,
Screening Renal Gastrectomy partial,CPTCode,43631,
Therapeutic Renal Gastric bypass,CPTCode,43644,
Comprehensive Neurological Sleeve gastrectomy,CPTCode,43775,
Screening Renal Whipple procedure,CPTCode,48150,
Advanced Dermatology Coronary artery bypass graft,CPTCode,33533,
Emergency Orthopedic Cardiac catheterization,CPTCode,93454,
Follow-up Cardiac Percutaneous coronary intervention,CPTCode,92920,
Therapeutic Neurological Pacemaker insertion,CPTCode,33206,
Diagnostic Pulmonary Defibrillator insertion,CPTCode,33249,
Diagnostic Cardiac Aortic valve replacement,CPTCode,33405,
Specialized Orthopedic Mitral valve repair,CPTCode,33425,
Comprehensive Oncology Carotid endarterectomy,CPTCode,35301,
Diagnostic Renal Aortic aneurysm repair,CPTCode,35082,
Screening Dermatology Peripheral vascular bypass,CPTCode,35556,
Routine Gastro Varicose vein surgery,CPTCode,37700,
Diagnostic Oncology Arteriovenous fistula creation,CPTCode,36821,
Comprehensive Pulmonary Hip replacement total,CPTCode,27130,
Screening Gastro Knee replacement total,CPTCode,27447,
Therapeutic Renal Shoulder replacement total,CPTCode,23472,
Screening Dermatology Spinal fusion lumbar,CPTCode,22612,
Advanced Renal Spinal fusion cervical,CPTCode,22551,
Screening Gastro Laminectomy,CPTCode,63030,
Advanced Oncology Discectomy,CPTCode,63030,
Emergency Pediatric Carpal tunnel release,CPTCode,64721,
Specialized Pulmonary Trigger finger release,CPTCode,26055,
Comprehensive Pulmonary Tendon repair,CPTCode,27650,
Comprehensive Orthopedic Fracture repair closed,CPTCode,25600,
Follow-up Cardiac Fracture repair open,CPTCode,25607,
Specialized Oncology Amputation lower extremity,CPTCode,27592,
Diagnostic Neurological Skin graft split thickness,CPTCode,15100,
Advanced Neurological Burn debridement,CPTCode,16020,
Specialized Pediatric Flap reconstruction,CPTCode,15734,
Advanced Orthopedic Rhinoplasty secondary,CPTCode,30430,
Emergency Dermatology Blepharoplasty,CPTCode,15822,
Specialized Pediatric Facelift,CPTCode,15824,
Targeted Orthopedic Breast augmentation,CPTCode,19325,
Targeted Oncology Breast reduction,CPTCode,19318,
Emergency Dermatology Breast reconstruction,CPTCode,19357,
Screening Pulmonary Liposuction,CPTCode,15877,
Follow-up Renal Abdominoplasty,CPTCode,15847,
Follow-up Gastro Craniotomy,CPTCode,61510,
Targeted Pediatric Craniectomy,CPTCode,61322,
Emergency Orthopedic Ventricular shunt,CPTCode,62220,
Diagnostic Pediatric Deep brain stimulation,CPTCode,61863,
Follow-up Oncology Vagus nerve stimulation,CPTCode,64568,
Advanced Cardiac Electroencephalography,CPTCode,95819,
Screening Neurological Nerve conduction study,CPTCode,95907,
Comprehensive Pulmonary EMG,CPTCode,95860,
Emergency ENT Sleep study,CPTCode,95810,
Screening Pulmonary Tilt table test,CPTCode,93660,
Diagnostic ENT Bone density scan,CPTCode,77080,
Emergency Neurological Nuclear medicine scan,CPTCode,78300,
Emergency Gastro PET scan,CPTCode,78816,
Screening Renal Mammogram screening,CPTCode,77067,
Targeted Orthopedic Mammogram diagnostic,CPTCode,77066,
Emergency Oncology Pap smear,CPTCode,88141,
Specialized Dermatology Urinalysis,CPTCode,81001,
Specialized Renal Complete blood count,CPTCode,85025,
Targeted Oncology Comprehensive metabolic panel,CPTCode,80053,
Screening ENT Lipid panel,CPTCode,80061,
Advanced Renal Thyroid panel,CPTCode,84436,
Targeted ENT Hemoglobin A1c,CPTCode,83036,
Advanced ENT Prothrombin time,CPTCode,85610,
Routine ENT PTT,CPTCode,85730,
Follow-up Orthopedic D-dimer,CPTCode,85379,
Advanced Cardiac Troponin,CPTCode,84484,
Follow-up ENT BNP,CPTCode,83880,
Comprehensive Pediatric PSA,CPTCode,86316,
Comprehensive Neurological CEA,CPTCode,82378,
Advanced Neurological CA-125,CPTCode,86304,
Therapeutic Cardiac AFP,CPTCode,82105,
Targeted Cardiac Beta HCG,CPTCode,84702,
Diagnostic Oncology Vitamin B12,CPTCode,82607,
Diagnostic Neurological Folate,CPTCode,82746,
Routine ENT Ferritin,CPTCode,82728,
Advanced Orthopedic Iron studies,CPTCode,83540,
Diagnostic Renal Uric acid,CPTCode,84550,
Targeted Oncology Cortisol,CPTCode,82533,
Advanced Pulmonary Testosterone,CPTCode,84402,
Comprehensive Pulmonary Estradiol,CPTCode,82670,
Specialized Cardiac FSH,CPTCode,83001,
Diagnostic Neurological LH,CPTCode,83002,
Comprehensive Pulmonary Progesterone,CPTCode,84144,
Targeted ENT Prolactin,CPTCode,84146,
Targeted Pediatric DHEA,CPTCode,82626,
Specialized Oncology Insulin,CPTCode,83525,
Therapeutic Pediatric C-peptide,CPTCode,84681,
Specialized Renal Rheumatoid factor,CPTCode,86431,
Therapeutic Pulmonary ANA,CPTCode,86038,
Targeted Dermatology Anti-dsDNA,CPTCode,86060,
Specialized Dermatology Anti-CCP,CPTCode,86200,
Comprehensive Orthopedic ESR,CPTCode,85651,
Emergency Cardiac CRP,CPTCode,86140,
Screening ENT Urine culture,CPTCode,87086,
Advanced Pediatric Blood culture,CPTCode,87040,
Therapeutic Renal Throat culture,CPTCode,87070,
Diagnostic Orthopedic Stool culture,CPTCode,87045,
Diagnostic Renal COVID-19 PCR test,CPTCode,87635,
Follow-up Dermatology Influenza test,CPTCode,87804,
Routine Dermatology Strep test rapid,CPTCode,87880,
Specialized Renal Mono test,CPTCode,86308,
Comprehensive ENT HIV test,CPTCode,86703,
Diagnostic Cardiac Hepatitis B surface antigen,CPTCode,87340,
Targeted Renal Hepatitis C antibody,CPTCode,86803,
Therapeutic Pediatric RPR syphilis test,CPTCode,86592,
Advanced Dermatology Chlamydia gonorrhea NAAT,CPTCode,87491,
Follow-up ENT Physical therapy evaluation,CPTCode,97161,
Comprehensive Renal Physical therapy treatment,CPTCode,97110,
Therapeutic Pediatric Occupational therapy evaluation,CPTCode,97165,
Comprehensive Pulmonary Speech therapy evaluation,CPTCode,92521,
Routine Oncology Psychiatric evaluation,CPTCode,90792,
Routine Neurological Psychotherapy 45 minutes,CPTCode,90834,
Specialized Neurological Psychotherapy 60 minutes,CPTCode,90837,
Therapeutic ENT Group therapy,CPTCode,90853,
Follow-up Renal Medication management,CPTCode,90833,
Specialized Gastro Neuropsychological testing,CPTCode,96130,
Therapeutic Neurological Allergy skin testing,CPTCode,95004,
Targeted Gastro Allergy immunotherapy,CPTCode,95115,
Follow-up Gastro Immunoglobulin infusion,CPTCode,90281,
Targeted Pulmonary Chemotherapy infusion,CPTCode,96413,
Emergency Dermatology Radiation therapy,CPTCode,77401,
Screening Pulmonary IMRT planning,CPTCode,77301,
Advanced Orthopedic Brachytherapy,CPTCode,77761,
Routine ENT Dialysis hemodialysis,CPTCode,90935,
Comprehensive Oncology Peritoneal dialysis,CPTCode,90945,
Therapeutic Orthopedic Plasmapheresis,CPTCode,36514,
Comprehensive Orthopedic Infusion therapy,CPTCode,96360,
Diagnostic Oncology IV antibiotics,CPTCode,96365,
Comprehensive Pediatric Total parenteral nutrition,CPTCode,99601,
Therapeutic ENT Nasogastric tube placement,CPTCode,43752,
Comprehensive Oncology Endotracheal intubation,CPTCode,31500,
Screening Oncology Mechanical ventilation management,CPTCode,94002,
Comprehensive Oncology Central line insertion,CPTCode,36556,
Screening Orthopedic PICC line insertion,CPTCode,36569,
Emergency ENT Arterial line placement,CPTCode,36620,
Therapeutic Cardiac Thoracentesis,CPTCode,32555,
Comprehensive Pediatric Paracentesis,CPTCode,49083,
Emergency Neurological Pericardiocentesis,CPTCode,33010,
Follow-up Neurological Cardioversion,CPTCode,92960,
Comprehensive Neurological Defibrillation,CPTCode,92950,
Routine Gastro CPR,CPTCode,92950,
Screening Pediatric Nebulizer treatment,CPTCode,94640,
Routine Pulmonary Oxygen therapy,CPTCode,94760,
Advanced Orthopedic CPAP,HCPCSCode,E0601,
Routine Pediatric BiPAP,HCPCSCode,E0470,
Comprehensive Renal Hospital bed,HCPCSCode,E0250,
Specialized ENT Walker,HCPCSCode,E0130,
Diagnostic Oncology Cane,HCPCSCode,E0100,
Advanced Orthopedic Crutches,HCPCSCode,E0110,
Emergency Neurological Commode,HCPCSCode,E0163,
Targeted Orthopedic Bath bench,HCPCSCode,E0245,
Specialized Cardiac Nebulizer machine,HCPCSCode,E0570,
